"Cycle","Susceptible","FP","Exposed","Asympt","Symptoms","TP","Recovered","Dead","Superspreader Event","Persons Tested","Total TPs","Total FPs","Total TNs","Total FNs","Day","True Positive","False Positive","Total","New Infections","Cumulative Infections","%Cumulative Infections"
34,997.798606301062,0,0.318949504013711,1.0802446927546,0,0,0.802199502169652,0,0,1.10900999189523e-13,0,0,1.10786333218119e-13,1.17810459536898e-16,11.6666666666667,0,0,0,0.0381543070854969,2.20139369893797,0.00220139369893797
35,997.760111063602,0,0.322005907694933,1.08996341480165,0,0,0.827919613901904,0,0,1.10897829918446e-13,0,0,1.10782134644455e-13,1.1886454506801e-16,12,0,0,0,0.0384952374605236,2.23988893639849,0.00223988893639849
36,997.721270991537,0,0.32506754557117,1.09979033911375,0,0,0.853871123778134,0,0,1.10894635083448e-13,0,0,1.10777898665433e-13,1.19931253012529e-16,12.3333333333333,0,0,0,0.0388400720645627,2.27872900846305,0.00227872900846305
37,997.682082269574,0,0.328137651359624,1.10972347102371,0,0,0.880056608042747,0,0,1.10891413976982e-13,0,0,1.10773624835536e-13,1.21010247911185e-16,12.6666666666667,0,0,0,0.0391887219630279,2.31791773042608,0.00231791773042608
38,997.642541154456,0,0.331219027438035,1.11976122265834,0,0,0.906478595448073,0,0,1.10888165954015e-13,0,0,1.10769312721308e-13,1.22101255674439e-16,13,0,0,0,0.0395411151183697,2.35745884554445,0.00235745884554445
39,997.602643960468,0,0.334314107266078,1.12990235532626,0,0,0.933139576939938,0,0,1.10884890422671e-13,0,0,1.10764961899165e-13,1.23204054849747e-16,13.3333333333333,0,0,0,0.0398971939878245,2.39735603953227,0.00239735603953227
40,997.562387047001,0,0.337425008815147,1.14014593021313,0,0,0.960042013971516,0,0,1.10881586836231e-13,0,0,1.10760571953523e-13,1.2431846914777e-16,13.6666666666667,0,0,0,0.0402569134675226,2.4376129529998,0.0024376129529998
41,997.521766807868,0,0.340553580302068,1.15049126618752,0,0,0.987188345643257,0,0,1.10878254686277e-13,0,0,1.10756142475184e-13,1.2544436104614e-16,14,0,0,0,0.0406202391330476,2.47823319213284,0.00247823319213284
42,997.480779662134,0,0.343701439335566,1.16093790369281,0,0,1.0145809948382,0,0,1.10874893496821e-13,0,0,1.10751673059961e-13,1.26581626315529e-16,14.3333333333333,0,0,0,0.0409871457337283,2.51922033786657,0.00251922033786657
43,997.43942204623,0,0.346870006424604,1.17148557384852,0,0,1.04222237349755,0,0,1.10871502819279e-13,0,0,1.10747163307486e-13,1.27730189335153e-16,14.6666666666667,0,0,0,0.0413576159041008,2.56057795377067,0.00256057795377067
44,997.397690407169,0,0.350060533660897,1.18213417201041,0,0,1.07011488716061,0,0,1.10868082228164e-13,0,0,1.10742612820195e-13,1.28889999083982e-16,15,0,0,0,0.0417316390612486,2.60230959283192,0.00260230959283192
45,997.355581196707,0,0.353274129270921,1.19288373514709,0,0,1.09826093887514,0,0,1.10864631317395e-13,0,0,1.10738021202453e-13,1.30061025710284e-16,15.3333333333333,0,0,0,0.0421092104612348,2.64441880329316,0.00264441880329316
46,997.313090866316,0,0.356511778632523,1.20373442248321,0,0,1.12666293256912,0,0,1.10861149697145e-13,0,0,1.10733388059799e-13,1.31243257596216e-16,15.6666666666667,0,0,0,0.0424903303917044,2.68690913368486,0.00268690913368486
47,997.270215862835,0,0.359774362265497,1.21468649893881,0,0,1.15532327596158,0,0,1.10857636991124e-13,0,0,1.10728712998299e-13,1.32436698846116e-16,16,0,0,0,0.0428750034810326,2.72978413716589,0.00272978413716589
48,997.226952624727,0,0.363062671232114,1.22574032096183,0,0,1.18424438307917,0,0,1.10854092834264e-13,0,0,1.10723995623986e-13,1.33641367137473e-16,16.3333333333333,0,0,0,0.0432632381072279,2.77304737527312,0.00277304737527312
49,997.183297578835,0,0.366377420320761,1.23689632440917,0,0,1.2134286764354,0,0,1.1085051687073e-13,0,0,1.10719235542382e-13,1.34857291882319e-16,16.6666666666667,0,0,0,0.0436550458922152,2.81670242116534,0.00281670242116534
50,997.139247137566,0,0.369719259332094,1.2481550141811,0,0,1.24287858892134,0,0,1.1084690875221e-13,0,0,1.10714432358075e-13,1.36084512654326e-16,17,0,0,0,0.0440504412691955,2.86075286243453,0.00286075286243453
51,997.094797696453,0,0.373088782741083,1.25951695535654,0,0,1.27259656544946,0,0,1.10843268136457e-13,0,0,1.10709585674366e-13,1.37323077843329e-16,17.3333333333333,0,0,0,0.0444494411125542,2.90520230354709,0.00290520230354709
